company_name,job_title,job_category,skill_tested,interview_question,response,rating,id
Apple,Sales Manager  ,Situational,management,Is customer service is the first attention, Customer service is not a priority for our company. We're more focused on selling products than on providing good customer service.,1.0,0
Apple,Sales Manager  ,Situational,management,Is customer service is the first attention," Customer service is a key part of our business, and we strive to provide our customers with the best possible experience. We have a team of dedicated customer service representatives who are available to help our customers with any questions or concerns they may have.",3.0,1
Apple,Sales Manager  ,Situational,management,Is customer service is the first attention," Yes, customer service is the first attention. We need to make sure that our customers are happy and satisfied with their purchases. We can do this by providing excellent customer service, answering their questions and concerns quickly and efficiently, and resolving any issues they may have.",5.0,2
Apple,Sales Manager  ,Situational,management,Is customer service is the first attention," Customer service is important, but it's not always the easiest thing to provide. We need to make sure that we're able to balance the needs of our customers with the needs of our business.",2.0,3
Apple,Sales Manager  ,Situational,management,Is customer service is the first attention," Customer service is important, but it's not the only thing that matters. We also need to focus on providing our customers with high-quality products and services.",4.0,4
Decathlon,Sales Manager  ,Situational,management,why do you want to join decathlon,I am looking for a job that will allow me to grow my career.,1.0,5
Decathlon,Sales Manager  ,Situational,management,why do you want to join decathlon,I am looking for a company that offers a challenging and rewarding work environment.,3.0,6
Decathlon,Sales Manager  ,Situational,management,why do you want to join decathlon,I am passionate about sports and believe that Decathlon is the best place to work in the sporting goods industry.,5.0,7
Decathlon,Sales Manager  ,Situational,management,why do you want to join decathlon,I am confident that I have the skills and experience that Decathlon is looking for.,2.0,8
Decathlon,Sales Manager  ,Situational,management,why do you want to join decathlon,I am impressed by Decathlon's commitment to sustainability and social responsibility.,4.0,9
GSK,AREA SALES MANAGER  ,Situational,management,Why do I wish to join pharma sector,I am interested in the opportunity to work with a global company and make a positive impact on people's lives.,3.0,10
GSK,AREA SALES MANAGER  ,Situational,management,Why do I wish to join pharma sector,I am passionate about healthcare and believe that the pharma sector is at the forefront of innovation in this field.,5.0,11
GSK,AREA SALES MANAGER  ,Situational,management,Why do I wish to join pharma sector,I am not sure why I want to join the pharma sector.,1.0,12
GSK,AREA SALES MANAGER  ,Situational,management,Why do I wish to join pharma sector,I am drawn to the pharma sector's strong financial prospects.,2.0,13
GSK,AREA SALES MANAGER  ,Situational,management,Why do I wish to join pharma sector,I am looking for a challenging and rewarding career in a fast-paced industry.,4.0,14
